Año,Periodo,Operador de red,Nivel,CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),COT,"Cfm,j ($/fact.)"
2024,Mayo,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),886.83,394.58,47.96,251.44,83.19,72.51,37.14,56.37,15.874
2024,Mayo,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),852.17,394.58,47.96,216.78,83.19,72.51,37.14,56.37,15.874
2024,Mayo,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),817.51,394.58,47.96,182.12,83.19,72.51,37.14,56.37,15.874
2024,Mayo,CELSIA - Valle del Cauca,NIVEL II,743.46,394.58,47.96,153.09,80.25,30.43,37.14,53.43,15.874
2024,Mayo,CELSIA - Valle del Cauca,NIVEL III,654.58,394.58,47.96,89.52,59.51,25.87,37.14,32.69,15.874
2024,Mayo,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),896.29,312.92,47.96,257.12,187.01,83.99,7.28,0,9.902
2024,Mayo,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),845.46,312.92,47.96,206.29,187.01,83.99,7.28,0,9.902
2024,Mayo,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),794.63,312.92,47.96,155.46,187.01,83.99,7.28,0,9.902
2024,Mayo,CELSIA - Tolima,NIVEL II,663.54,312.92,47.96,161.31,97.24,36.83,7.28,0,9.902
2024,Mayo,CELSIA - Tolima,NIVEL III,604.45,312.92,47.96,111.37,97.24,27.67,7.28,0,9.902
2024,Mayo,EMCALI - Cali,Nivel 1 ( Propiedad OR ),826.58,392,47.96,251.44,28.69,69.35,37.14,0,8.891
2024,Mayo,EMCALI - Cali,Nivel 1 (Propiedad Compartida),810.91,392,47.96,235.77,28.69,69.35,37.14,0,8.891
2024,Mayo,EMCALI - Cali,Nivel 1  (Propiedad Cliente),795.23,392,47.96,220.09,28.69,69.35,37.14,0,8.891
2024,Mayo,EMCALI - Cali,NIVEL II,688.42,392,47.96,153.09,28.69,29.54,37.14,0,8.891
2024,Mayo,EMCALI - Cali,NIVEL III,622.19,392,47.96,89.52,28.69,26.89,37.14,0,8.891
2024,Junio,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),741.85,291.69,52.84,257.95,57.57,58.96,22.85,29.34,9.681
2024,Junio,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),719.5,291.69,52.84,235.6,57.57,58.96,22.85,29.34,9.681
2024,Junio,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),697.16,291.69,52.84,213.26,57.57,58.96,22.85,29.34,9.681
2024,Junio,ENEL Bogotá - Cundinamarca,NIVEL II,624.91,291.69,52.84,162.49,74.85,20.2,22.85,46.62,9.681
2024,Junio,ENEL Bogotá - Cundinamarca,NIVEL III,571.55,291.69,52.84,113.13,71.31,19.74,22.85,43.08,9.681
2024,Junio,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),773.47,294.56,52.84,260.81,84.61,57.81,22.85,52.95,15.941
2024,Junio,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),739.44,294.56,52.84,226.77,84.61,57.81,22.85,52.95,15.941
2024,Junio,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),705.4,294.56,52.84,192.74,84.61,57.81,22.85,52.95,15.941
2024,Junio,CELSIA - Valle del Cauca,NIVEL II,631.79,294.56,52.84,153.34,83.49,24.72,22.85,51.83,15.941
2024,Junio,CELSIA - Valle del Cauca,NIVEL III,541.47,294.56,52.84,90.78,59.31,21.14,22.85,27.65,15.941
2024,Junio,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),930.58,308.41,52.84,257.95,189.88,84.8,36.71,89.37,9.96
2024,Junio,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),880.74,308.41,52.84,208.1,189.88,84.8,36.71,89.37,9.96
2024,Junio,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),830.9,308.41,52.84,158.26,189.88,84.8,36.71,89.37,9.96
2024,Junio,CELSIA - Tolima,NIVEL II,698.07,308.41,52.84,162.49,100.11,37.51,36.71,0,9.96
2024,Junio,CELSIA - Tolima,NIVEL III,639.54,308.41,52.84,113.13,100.11,28.33,36.71,0,9.96
2024,Junio,EMCALI - Cali,Nivel 1 ( Propiedad OR ),710.54,292.22,52.84,260.81,25.96,55.87,22.85,0,8.929
2024,Junio,EMCALI - Cali,Nivel 1 (Propiedad Compartida),695.09,292.22,52.84,245.36,25.96,55.87,22.85,0,8.929
2024,Junio,EMCALI - Cali,Nivel 1  (Propiedad Cliente),679.64,292.22,52.84,229.91,25.96,55.87,22.85,0,8.929
2024,Junio,EMCALI - Cali,NIVEL II,571.79,292.22,52.84,153.34,25.96,24.59,22.85,0,8.929
2024,Junio,EMCALI - Cali,NIVEL III,507.13,292.22,52.84,90.78,25.96,22.49,22.85,0,8.929
2024,Julio,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),757.55,296.26,55.93,266.32,53.33,59.15,26.57,30.87,9.712
2024,Julio,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),735.14,296.26,55.93,243.9,53.33,59.15,26.57,30.87,9.712
2024,Julio,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),712.72,296.26,55.93,221.49,53.33,59.15,26.57,30.87,9.712
2024,Julio,ENEL Bogotá - Cundinamarca,NIVEL II,637.19,296.26,55.93,170.11,68.6,19.72,26.57,46.14,9.712
2024,Julio,ENEL Bogotá - Cundinamarca,NIVEL III,577.78,296.26,55.93,117.41,62.36,19.25,26.57,39.9,9.712
2024,Julio,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),788.83,299.1,55.93,264.36,84.94,57.93,26.57,56.63,15.992
2024,Julio,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),754.74,299.1,55.93,230.27,84.94,57.93,26.57,56.63,15.992
2024,Julio,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),720.65,299.1,55.93,196.18,84.94,57.93,26.57,56.63,15.992
2024,Julio,CELSIA - Valle del Cauca,NIVEL II,647.94,299.1,55.93,154.11,87.95,24.28,26.57,59.64,15.992
2024,Julio,CELSIA - Valle del Cauca,NIVEL III,556.39,299.1,55.93,94.26,59.86,20.66,26.57,31.55,15.992
2024,Julio,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),932.1,312.46,55.93,266.32,188.35,85.03,24.01,94.71,10.002
2024,Julio,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),882.09,312.46,55.93,216.31,188.35,85.03,24.01,94.71,10.002
2024,Julio,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),832.08,312.46,55.93,166.3,188.35,85.03,24.01,94.71,10.002
2024,Julio,CELSIA - Tolima,NIVEL II,698.58,312.46,55.93,170.11,98.98,37.09,24.01,0,10.002
2024,Julio,CELSIA - Tolima,NIVEL III,636.58,312.46,55.93,117.41,98.98,27.79,24.01,0,10.002
2024,Julio,EMCALI - Cali,Nivel 1 ( Propiedad OR ),720.65,296.78,55.93,264.36,21.01,55.99,26.57,0,8.958
2024,Julio,EMCALI - Cali,Nivel 1 (Propiedad Compartida),705.24,296.78,55.93,248.96,21.01,55.99,26.57,0,8.958
2024,Julio,EMCALI - Cali,Nivel 1  (Propiedad Cliente),689.84,296.78,55.93,233.56,21.01,55.99,26.57,0,8.958
2024,Julio,EMCALI - Cali,NIVEL II,578.58,296.78,55.93,154.11,21.01,24.17,26.57,0,8.958
2024,Julio,EMCALI - Cali,NIVEL III,516.59,296.78,55.93,94.26,21.01,22.04,26.57,0,8.958
2024,Agosto,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),765.4,299.77,57.14,265.55,54.36,59.71,28.88,30.78,9.731
2024,Agosto,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),742.94,299.77,57.14,243.09,54.36,59.71,28.88,30.78,9.731
2024,Agosto,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),720.48,299.77,57.14,220.63,54.36,59.71,28.88,30.78,9.731
2024,Agosto,ENEL Bogotá - Cundinamarca,NIVEL II,643.89,299.77,57.14,167.84,70.47,19.79,28.88,46.89,9.731
2024,Agosto,ENEL Bogotá - Cundinamarca,NIVEL III,577.71,299.77,57.14,112.58,60.03,19.31,28.88,36.45,9.731
2024,Agosto,CELSIA - Valle del Cauca,Nivel 1 ( Propiedad OR ),790.11,302.22,57.14,261.35,82.12,58.39,28.88,56.45,16.025
2024,Agosto,CELSIA - Valle del Cauca,Nivel 1 (Propiedad Compartida),755.8,302.22,57.14,227.05,82.12,58.39,28.88,56.45,16.025
2024,Agosto,CELSIA - Valle del Cauca,Nivel 1  (Propiedad Cliente),721.49,302.22,57.14,192.74,82.12,58.39,28.88,56.45,16.025
2024,Agosto,CELSIA - Valle del Cauca,NIVEL II,648.98,302.22,57.14,149.51,86.86,24.36,28.88,61.19,16.025
2024,Agosto,CELSIA - Valle del Cauca,NIVEL III,549.58,302.22,57.14,89.04,51.58,20.71,28.88,25.91,16.025
2024,Agosto,CELSIA - Tolima,Nivel 1 ( Propiedad OR ),939.79,312.38,57.14,265.55,194.41,85.13,25.19,92.22,10.035
2024,Agosto,CELSIA - Tolima,Nivel 1 (Propiedad Compartida),889.67,312.38,57.14,215.42,194.41,85.13,25.19,92.22,10.035
2024,Agosto,CELSIA - Tolima,Nivel 1  (Propiedad Cliente),839.55,312.38,57.14,165.3,194.41,85.13,25.19,92.22,10.035
2024,Agosto,CELSIA - Tolima,NIVEL II,699.31,312.38,57.14,167.84,99.7,37.05,25.19,0,10.035
2024,Agosto,CELSIA - Tolima,NIVEL III,634.72,312.38,57.14,112.58,99.7,27.72,25.19,0,10.035
2024,Agosto,EMCALI - Cali,Nivel 1 ( Propiedad OR ),734.25,300.22,57.14,261.35,21.93,64.71,28.88,0,8.976
2024,Agosto,EMCALI - Cali,Nivel 1 (Propiedad Compartida),718.81,300.22,57.14,245.92,21.93,64.71,28.88,0,8.976
2024,Agosto,EMCALI - Cali,Nivel 1  (Propiedad Cliente),703.37,300.22,57.14,230.48,21.93,64.71,28.88,0,8.976
2024,Agosto,EMCALI - Cali,NIVEL II,585.16,300.22,57.14,149.51,21.93,27.46,28.88,0,8.976
2024,Agosto,EMCALI - Cali,NIVEL III,522.19,300.22,57.14,89.04,21.93,24.97,28.88,0,8.976
2024,Septiembre,ENEL Bogotá - Cundinamarca,Nivel 1 ( Propiedad OR ),764.32,322.32,48.55,266.9,55.82,59.71,11.01,32.98,9.731
2024,Septiembre,ENEL Bogotá - Cundinamarca,Nivel 1 (Propiedad Compartida),742.01,322.32,48.55,244.59,55.82,59.71,11.01,32.98,9.731
2024,Septiembre,ENEL Bogotá - Cundinamarca,Nivel 1  (Propiedad Cliente),719.69,322.32,48.55,222.28,55.82,59.71,11.01,32.98,9.731
